,Player,Team,AB,1B,2B,3B,HR,TB/AB,BB/K,Profile
0,C Bender,BOR,33,7,1.0,0.0,1.0,0.2718529347065734,-0.768008315505824,HIT
1,K. Fedko,BOR,50,11,0.0,0.0,0.0,-1.1480054652367944,-0.735176442839607,-AVG
2,D. Rushing,BOR,118,22,9.0,0.0,6.0,1.5246691699507213,0.38110722781177536,ELITE
3,C. Knapczyk,BOR,109,26,8.0,1.0,0.0,0.4388950994057928,1.2347359171334207,ELITE
4,C. Wallace,BOR,62,11,5.0,0.0,2.0,0.9400215935034518,-0.37402584351121865,HIT
6,M. Anderson,BOR,120,23,8.0,0.0,3.0,0.6059372641050126,-0.34119397084500147,HIT
7,J. Lampe,BOR,108,26,1.0,1.0,0.0,-0.5633578887895254,1.6943821344604602,Eye
8,N. Goodwin,BOR,68,13,1.0,0.0,1.0,-0.646878971139135,-0.7023445701733899,-AVG
9,B. Wimmer,BOR,85,16,6.0,0.0,2.0,0.5224161817554026,-0.9321676788369099,HIT
10,T. Schobel,BOR,86,18,5.0,0.0,3.0,0.9400215935034518,-0.24269835284635016,HIT
11,C. Thomas,BOR,92,10,5.0,2.0,4.0,0.8565005111538424,-0.34119397084500147,HIT
12,P. Burns,BOR,55,8,2.0,0.0,0.0,-1.1480054652367944,0.7094259544739465,Eye
13,Z. Agnos,BOR,76,7,3.0,2.0,3.0,0.4388950994057928,-0.209866480180133,AVG
14,J. Moylan,BOR,61,10,0.0,0.0,1.0,-1.0644843828871844,-0.14420273484769872,-AVG
15,S. Goosenberg,BRE,37,8,1.0,0.0,1.0,0.18833185235696345,-0.47252146150987007,AVG
16,C. Davis,BRE,50,19,0.0,0.0,2.0,1.5246691699507213,1.5302227711293748,ELITE
17,C. Castillo,BRE,51,13,2.0,0.0,2.0,1.1070637582026717,1.2347359171334207,ELITE
18,Z. Neto,BRE,46,7,4.0,0.0,3.0,1.94227458169877,1.858541497791546,ELITE
19,J. Thompson,BRE,108,16,9.0,2.0,3.0,1.0235426758530617,1.563054643795592,ELITE
20,K. Byrne,BRE,79,13,2.0,0.0,0.0,-1.1480054652367944,-0.8008401881720413,-AVG
21,C. Lanzilli,BRE,55,6,3.0,0.0,1.0,-0.5633578887895254,-0.47252146150987007,-AVG
22,A. Freeland,BRE,66,13,3.0,0.0,0.0,-0.5633578887895254,1.4645590257969403,Eye
23,S. Jones,BRE,77,17,4.0,0.0,3.0,1.0235426758530617,-0.47252146150987007,HIT
24,W. Simpson,BRE,76,11,2.0,0.0,3.0,0.021289687657743587,-0.012875244182830292,AVG
25,D. Carter,BRE,29,2,2.0,0.0,0.0,-1.2315265475864041,0.6437622091415122,Eye
26,N. Biddison,BRE,75,8,2.0,1.0,0.0,-1.3150476299360139,-0.012875244182830292,-AVG
27,T. Faltine,BRE,65,7,1.0,0.0,2.0,-0.8139211358383548,-0.40685771617743577,-AVG
28,M. Bingham,BRE,59,6,1.0,1.0,0.0,-1.3985687122856238,-0.04570711684904744,-AVG
29,C. Weiss,BRE,51,3,0.0,0.0,3.0,-0.5633578887895254,0.7094259544739465,Eye
30,P. Brown,BRE,51,6,1.0,0.0,1.0,-0.9809633005375746,-0.5710170795085213,-AVG
31,A. Benefield,CHA,36,2,2.0,0.0,2.0,0.2718529347065734,-0.012875244182830292,AVG
32,G. Martin,CHA,42,6,2.0,0.0,1.0,-0.22927355939108574,-0.5053533341760871,-AVG
33,M. Hogan,CHA,88,10,6.0,0.0,4.0,0.6059372641050126,-0.47252146150987007,HIT
34,D. Serretti,CHA,85,18,4.0,0.0,2.0,0.3553740170561833,0.01995662848338686,AVG
35,C. Grice,CHA,28,5,0.0,0.0,2.0,0.8565005111538424,-0.34119397084500147,HIT
37,K. Levari,CHA,37,4,2.0,0.0,0.0,-1.1480054652367944,-1.1291589148342123,-AVG
38,K. Parada,CHA,28,5,2.0,0.0,0.0,-0.31279464174069566,2.941993295776711,Eye
39,M. Romero Jr,CHA,91,13,6.0,0.0,5.0,1.1070637582026717,-0.8665039335044755,HIT
40,J. Rivera,CHA,117,22,6.0,0.0,1.0,-0.31279464174069566,-0.14420273484769872,AVG
41,J. Castagnozzi,CHA,39,6,0.0,1.0,2.0,0.6894583464546226,-0.8665039335044755,HIT
42,L. Miller-Green,CHA,125,20,3.0,0.0,8.0,0.8565005111538424,-0.34119397084500147,HIT
43,M. Garcia,CHA,60,6,3.0,0.0,0.0,-1.3150476299360139,-0.6366808248409557,-AVG
44,J. DeLeo,CHA,111,22,3.0,0.0,1.0,-0.5633578887895254,-0.768008315505824,-AVG
45,L. Britt,CHA,46,5,2.0,0.0,1.0,-0.646878971139135,-0.768008315505824,-AVG
46,C. Trenkle,CHA,97,11,5.0,1.0,1.0,-0.5633578887895254,-0.37402584351121865,-AVG
47,D. Mendham,CHA,31,4,1.0,0.0,0.0,-1.3985687122856238,0.610930336475295,Eye
48,D. Tamez,CHA,43,1,2.0,0.0,1.0,-1.2315265475864041,-0.768008315505824,-AVG
49,D. Beavers,COT,30,5,2.0,0.0,0.0,-0.4798368064399155,0.2169478644806896,AVG
50,J. Rhodes,COT,33,5,5.0,0.0,0.0,0.7729794288042324,-1.0634951695017782,HIT
51,B. Rice,COT,34,6,3.0,0.0,0.0,-0.062231394691866344,0.38110722781177536,AVG
52,R. Schreck,COT,39,7,1.0,0.0,1.0,-0.22927355939108574,2.6793383144469742,Eye
53,A. Garriola,COT,43,7,1.0,0.0,3.0,1.1070637582026717,-0.40685771617743577,HIT
54,C. Cummings,COT,52,10,3.0,1.0,1.0,0.6894583464546226,-0.11137086218148157,HIT
55,B. Baldwin,COT,67,11,3.0,1.0,1.0,0.021289687657743587,-0.8008401881720413,HIT
56,J. Grady,COT,78,20,3.0,0.0,4.0,1.7752324169995501,0.44677097314420927,ELITE
57,E. Brown,COT,88,25,3.0,0.0,5.0,1.8587534993491601,0.38110722781177536,ELITE
58,N. Martorella,COT,46,14,4.0,0.0,1.0,1.7752324169995501,4.386595693090265,ELITE
59,L. Gold,COT,86,13,4.0,0.0,6.0,1.3576270052515014,0.2169478644806896,ELITE
60,B. Roberts,COT,82,19,4.0,0.0,2.0,0.6059372641050126,-0.34119397084500147,HIT
61,R.  Ritter,COT,91,24,4.0,1.0,1.0,0.6059372641050126,0.4139391004779925,ELITE
62,M. Suggs,COT,41,7,0.0,0.0,0.0,-1.5656108769848434,-0.11137086218148157,-AVG
63,C. Trice,COT,47,7,3.0,0.0,0.0,-0.646878971139135,-0.11137086218148157,-AVG
64,N. Bridges,COT,50,8,2.0,1.0,1.0,0.18833185235696345,-0.768008315505824,HIT
65,M. Donlan,COT,67,14,3.0,0.0,0.0,-0.4798368064399155,-1.1619907875004294,-AVG
66,B. Ware,FAL,30,1,0.0,0.0,1.0,-1.5656108769848434,-0.34119397084500147,-AVG
67,K. Armstrong,FAL,91,17,4.0,0.0,7.0,1.8587534993491601,-0.24269835284635016,HIT
68,J. French,FAL,59,6,2.0,0.0,2.0,-0.3963157240903056,-0.209866480180133,AVG
69,T. Smith,FAL,75,5,4.0,0.0,5.0,0.6894583464546226,-0.04570711684904744,HIT
70,B. Milone,FAL,36,5,1.0,0.0,0.0,-1.3985687122856238,-0.34119397084500147,-AVG
71,L. Boyers,FAL,80,10,2.0,0.0,1.0,-1.0644843828871844,0.2169478644806896,Eye
72,J. Dukart,FAL,49,9,2.0,0.0,0.0,-0.7304000534887448,0.6765940818077294,Eye
73,A. Hall,FAL,106,18,7.0,1.0,4.0,1.0235426758530617,0.906417190471249,ELITE
74,K. Kolden,FAL,111,14,3.0,0.0,2.0,-0.8974422181879648,-0.6366808248409557,-AVG
75,M. Curialle,FAL,115,18,6.0,1.0,3.0,0.2718529347065734,-0.6695126975071727,HIT
76,D. Hodo,FAL,31,5,1.0,0.0,0.0,-1.0644843828871844,-0.34119397084500147,-AVG
77,J. Bohrofen,FAL,129,20,8.0,3.0,5.0,1.1905848405522816,0.38110722781177536,ELITE
78,B. Taylor,FAL,104,20,6.0,0.0,2.0,0.18833185235696345,0.2826116098131239,AVG
79,N. Lucky,HAR,29,3,0.0,0.0,1.0,-0.9809633005375746,-1.1619907875004294,-AVG
80,C. Beloso,HAR,32,7,1.0,0.0,0.0,-0.646878971139135,-0.43968958884365295,-AVG
81,B. Malgeri,HAR,42,9,0.0,0.0,2.0,0.3553740170561833,-0.04570711684904744,AVG
82,H. Hughes,HAR,50,6,2.0,0.0,1.0,-0.646878971139135,1.2019040444672036,Eye
83,B. Tinsman,HAR,28,5,2.0,0.0,0.0,-0.31279464174069566,4.32093194775783,Eye
84,B. Wilken,HAR,129,23,10.0,0.0,6.0,1.3576270052515014,0.8407534451388148,ELITE
85,P. Cavenaugh,HAR,105,25,7.0,0.0,1.0,0.4388950994057928,0.7750896998063808,ELITE
86,T. Levins,HAR,103,17,9.0,0.0,1.0,0.18833185235696345,1.7272140071266775,ELITE
87,C. Newell,HAR,76,11,2.0,1.0,5.0,1.1905848405522816,-0.997831424169344,HIT
88,J. Beck,HAR,90,17,4.0,1.0,2.0,0.3553740170561833,-0.04570711684904744,AVG
89,C. Putz,HAR,116,24,4.0,0.0,0.0,-0.646878971139135,-0.04570711684904744,-AVG
90,D. Phillips,HAR,58,9,4.0,0.0,4.0,1.7752324169995501,1.2019040444672036,ELITE
91,J. Lazzaro,HAR,31,6,0.0,0.0,0.0,-1.3985687122856238,-0.40685771617743577,-AVG
92,J. Hood,HAR,81,10,5.0,1.0,1.0,-0.22927355939108574,-0.5381852068423042,-AVG
93,Z. Prajzner,HAR,77,21,5.0,0.0,2.0,1.2741059229018916,-0.14420273484769872,HIT
94,M. Cotier,HAR,45,8,3.0,0.0,0.0,-0.3963157240903056,-0.6038489521747386,-AVG
95,M. Ricciardi,HYA,30,4,0.0,0.0,0.0,-1.8996952063832828,-0.24269835284635016,-AVG
96,M. Pujols,HYA,48,8,1.0,0.0,2.0,0.18833185235696345,-0.9649995515031268,HIT
97,C. Eliott,HYA,90,24,4.0,1.0,2.0,1.0235426758530617,1.366063407798289,ELITE
98,N. Romano,HYA,42,7,4.0,0.0,1.0,0.7729794288042324,-0.17703460751391586,HIT
99,L. Mann,HYA,108,19,5.0,0.0,5.0,0.7729794288042324,-0.47252146150987007,HIT
100,R. Proto,HYA,46,11,0.0,0.0,0.0,-0.9809633005375746,-0.9649995515031268,-AVG
101,Z. Harris,HYA,99,13,6.0,0.0,1.0,-0.5633578887895254,0.44677097314420927,Eye
102,R. Romano,HYA,74,8,3.0,2.0,1.0,-0.31279464174069566,-0.9649995515031268,-AVG
103,C. Rose,HYA,89,14,2.0,0.0,1.0,-0.8974422181879648,0.05278850114960402,Eye
104,D. Johnson,HYA,117,24,3.0,2.0,2.0,0.18833185235696345,0.01995662848338686,AVG
105,M. Hartigan,HYA,115,17,4.0,2.0,1.0,-0.4798368064399155,-0.6695126975071727,-AVG
106,K. Ball,HYA,120,21,4.0,0.0,0.0,-0.9809633005375746,1.0705765538023349,Eye
107,C. Pendleton,HYA,45,6,4.0,0.0,2.0,1.1070637582026717,-0.8336720608382584,HIT
108,M. Greer,HYA,82,11,1.0,0.0,0.0,-1.6491319593344533,-0.8008401881720413,-AVG
109,R. Thomas,ORL,49,17,3.0,0.0,0.0,0.9400215935034518,1.0377446811361177,ELITE
110,C. Kokx,ORL,55,11,3.0,0.0,0.0,-0.3963157240903056,-0.34119397084500147,AVG
111,T. Harmon,ORL,56,13,6.0,0.0,1.0,1.3576270052515014,-0.47252146150987007,HIT
112,C. DeLauter,ORL,124,20,7.0,1.0,9.0,1.94227458169877,2.416683333117237,ELITE
113,P. Chatagnier,ORL,99,16,3.0,0.0,4.0,0.18833185235696345,-0.0785389895152646,AVG
114,J Sprinkle,ORL,28,7,0.0,0.0,0.0,-0.8974422181879648,0.01995662848338686,Eye
115,G. Guillemette,ORL,59,9,0.0,0.0,3.0,0.021289687657743587,-1.260486405499081,HIT
116,T. Locklear,ORL,125,19,4.0,0.0,9.0,1.1905848405522816,-0.8008401881720413,HIT
117,L. Keaschall,ORL,84,20,4.0,1.0,2.0,0.8565005111538424,-0.34119397084500147,HIT
118,J. Jung,ORL,32,4,1.0,1.0,1.0,0.4388950994057928,-0.8336720608382584,HIT
119,D. Marcano,ORL,35,5,0.0,0.0,1.0,-0.8139211358383548,1.0377446811361177,Eye
120,J. McKenzie,ORL,102,21,2.0,0.0,0.0,-0.8974422181879648,-0.40685771617743577,-AVG
121,J. Marcano,ORL,73,11,2.0,0.0,1.0,-0.8139211358383548,-0.6366808248409557,-AVG
122,J. Miknis,ORL,52,10,1.0,0.0,1.0,-0.3963157240903056,3.7627901124321395,Eye
123,C. Acton*,ORL,49,7,3.0,0.0,0.0,-0.7304000534887448,-0.768008315505824,-AVG
124,B. Blackwell,ORL,55,9,1.0,0.0,0.0,-1.3150476299360139,-0.8336720608382584,-AVG
125,J. Costello,ORL,37,7,2.0,0.0,0.0,-0.4798368064399155,0.2169478644806896,AVG
126,J. Williams,WAR,48,6,3.0,0.0,4.0,1.8587534993491601,-0.6038489521747386,HIT
127,A. DiSpigna,WAR,51,6,3.0,0.0,1.0,-0.3963157240903056,-1.1619907875004294,-AVG
128,T. Gonzalez,WAR,122,34,6.0,0.0,0.0,0.18833185235696345,2.2853558424523683,ELITE
129,O. Diodati,WAR,138,22,5.0,0.0,7.0,0.6059372641050126,-0.735176442839607,HIT
130,T. Troy,WAR,117,25,3.0,3.0,4.0,1.0235426758530617,-0.11137086218148157,HIT
131,C. Fergus,WAR,54,10,3.0,1.0,2.0,1.1905848405522816,-0.04570711684904744,HIT
132,J. Crooks,WAR,104,22,3.0,0.0,2.0,-0.062231394691866344,0.05278850114960402,AVG
133,J. Brannigan,WAR,78,17,2.0,1.0,2.0,0.4388950994057928,0.38110722781177536,AVG
134,J. Jarvis,WAR,100,25,7.0,1.0,4.0,1.8587534993491601,0.610930336475295,ELITE
135,K. Clark,WAR,63,9,3.0,0.0,0.0,-0.9809633005375746,-0.40685771617743577,-AVG
136,K. Kern,WAR,93,13,3.0,0.0,2.0,-0.5633578887895254,-0.6366808248409557,-AVG
137,Y. Morales,WAR,55,8,1.0,1.0,0.0,-0.9809633005375746,0.1512841191482553,Eye
138,A. Frechette,WAR,29,6,1.0,0.0,0.0,-0.646878971139135,-0.34119397084500147,-AVG
139,K. James,WAR,63,8,0.0,0.0,2.0,-0.8974422181879648,-0.27553022551256734,-AVG
140,A. Compton,YD,33,4,1.0,0.0,0.0,-1.4820897946352338,-1.4246457688301666,-AVG
141,N. Baez,YD,54,9,4.0,0.0,0.0,-0.3963157240903056,-0.5381852068423042,-AVG
142,B. Lee,YD,84,24,4.0,0.0,6.0,2.6104432404956497,-0.8008401881720413,HIT
143,W. Hoffman,YD,126,25,8.0,0.0,1.0,0.021289687657743587,-0.5381852068423042,HIT
144,K. Huff,YD,108,19,3.0,0.0,4.0,0.18833185235696345,-0.43968958884365295,AVG
145,P. Graham,YD,81,14,4.0,0.0,2.0,0.10481077000735352,-0.04570711684904744,AVG
146,C. Luttrell,YD,134,27,4.0,1.0,0.0,-0.646878971139135,-0.8665039335044755,-AVG
147,T. Smith,YD,115,22,6.0,0.0,4.0,0.6059372641050126,0.47960284581042645,ELITE
148,P. Ferreras,YD,58,6,2.0,0.0,1.0,-0.9809633005375746,-0.9649995515031268,-AVG
149,B. Knight,YD,77,11,3.0,0.0,0.0,-1.1480054652367944,-0.43968958884365295,-AVG
150,D. Bowser,YD,72,11,2.0,0.0,1.0,-0.8139211358383548,-0.14420273484769872,-AVG
151,Z. Lew,YD,80,10,2.0,0.0,0.0,-1.4820897946352338,-0.17703460751391586,-AVG
152,C. Hunter,YD,56,5,4.0,0.0,1.0,-0.4798368064399155,-0.43968958884365295,AVG
153,D. Keegan,YD,43,8,0.0,0.0,5.0,2.4434010757964297,-0.04570711684904744,HIT
154,T. Williams,YD,41,5,0.0,0.0,0.0,-1.9832162887328928,-1.4246457688301666,-AVG
